,Hotel Name,Lat,Lon,City,Country
0,Hotel de Ville,-14.8812277,47.9880748,Antsohihy,Madagascar
1,Courtyard by Marriott Danbury,41.4113711,-73.4152646,Danbury,USA
2,Chenango Valley State Park,42.21394530000001,-75.8353542,Chenango Forks,USA
3,Super 8 by Wyndham Havre De Grace Aberdeen Area,39.5496113,-76.1047102,Havre de Grace,USA
4,Shelly Bay Resort,-25.2829399,152.8798937,Torquay,Australia
5,Hotel Burghof,50.3098095,11.9204252,Hof,Germany
6,Swila Logd,-9.4109815,33.1835376,Itumba,Tanzania
7,Hampton Inn & Suites Jamestown,42.1184574,-79.2427728,Jamestown,USA
8,Pension Feldgärtenhof,46.628854,10.750799,Silandro,Italy
9,Noble Inn,48.2134565,-101.2771575,Minot,USA
10,Mantra Nelson Bay,-32.7240489,152.145432,Nelson Bay,Australia
11,Hotel Santa Rosa,-36.8921881,-60.321769,Olavarría,Argentina
12,Howard Johnson Plaza Hotel Mayorazgo,-31.7201382,-60.5294938,Paraná,Argentina
13,Marriott Boston Quincy,42.22945060000001,-71.0183286,Quincy,USA
14,Wingate By Wyndham Rome,43.20918650000001,-75.4130325,Rome,USA
15,Ideal Hotel,39.6429901,66.9547118,Street 10,Uzbekistan
16,Hotel Vila Viktorija,44.8477217,17.2306326,Trn,Bosnia and Herzegovina
17,Homewood Suites by Hilton Newark-Cranford,40.6410635,-74.2875165,Cranford,USA
18,Motel Trembita,48.4989262,23.5024776,Mizhhir'ya,Ukraine
19,The Westport Inn,41.1389728,-73.30889499999999,Westport,USA
