,City ID,City,Country,Lat,Lon,Date (UTC),Clouds (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,245785,Abéché,TD,13.83,20.83,1599946501,57,66,81.3,16.9559770782
1,172515,Abu Samrah,SY,35.3,37.18,1599945976,0,45,76.33,14.4058697076
2,380348,Abū Zabad,SD,12.35,29.25,1599946501,47,79,75.97,15.1216893204
3,3533462,Acapulco de Juárez,MX,16.86,-99.89,1599946501,40,74,86.0,20.5127057793
4,2381972,Adrar,MR,20.5,-10.07,1599946023,47,28,93.88,30.824982076199998
5,344420,Adwa,ET,14.16,38.9,1599946502,0,73,60.96,2.9974946286
6,1512101,Agirish,RU,61.92,63.02,1599946502,48,90,44.17,17.5152111507
7,2194098,Ahipara,NZ,-35.17,173.17,1599946502,0,58,56.37,14.450608433400001
8,5856516,‘Āhuimanu,US,21.44,-157.84,1599946503,20,62,86.0,28.5209376975
9,1651810,Airai,TL,-8.93,125.41,1599946503,79,54,54.91,8.0977093698
10,601551,Akdepe,TM,42.06,59.38,1599946503,0,54,60.8,5.010737289600001
11,583811,Akhtanizovskaya,RU,45.32,37.1,1599946503,0,46,69.8,25.0089477222
12,5882953,Aklavik,CA,68.22,-135.01,1599946503,75,74,33.8,15.5019684897
13,2293107,Akoupé,CI,6.39,-3.9,1599946504,100,98,72.64,9.4175017809
14,1526619,Aktas,KZ,49.78,72.96,1599946504,0,52,32.0,15.0098425059
15,1295765,Sittwe,MM,20.15,92.9,1599946504,99,85,81.82,13.7124194577
16,5106841,Albany,US,42.6,-73.97,1599946358,84,57,73.0,13.8018969093
17,713676,Oleksandrivka,UA,46.84,32.76,1599946505,0,38,63.84,19.170544005300002
18,361058,Alexandria,EG,31.22,29.96,1599946505,0,73,78.91,16.0612025622
19,2077895,Alice Springs,AU,-23.7,133.88,1599946475,0,15,64.4,31.0263063423
20,4036284,Alofi,NU,-19.06,-169.92,1599946505,72,69,78.8,23.0180744241
21,1278969,Along,IN,28.17,94.77,1599946505,96,89,72.91,1.342161774
22,3866163,Alta Gracia,AR,-31.65,-64.43,1599946007,0,18,72.0,38.5200429138
23,3407882,Altamira,BR,-3.2,-52.21,1599946228,20,79,84.2,5.5028632734
24,1529651,Altay,CN,47.87,88.12,1599946506,0,43,46.92,11.7662848854
25,1731248,Alugan,PH,12.22,125.48,1599946506,100,85,79.36,3.8922691446
26,2079582,Alyangula,AU,-13.85,136.42,1599946506,56,100,60.8,20.110057247100002
27,1278935,Amalāpuram,IN,16.58,82.02,1599946265,50,95,76.5,7.5608446602
28,1082243,Ambilobe,MG,-13.2,49.05,1599946002,28,75,72.28,10.3122762969
29,2127202,Anadyr,RU,64.75,177.48,1599946209,40,81,46.4,55.0510020969
30,5879400,Anchorage,US,61.22,-149.9,1599946454,1,53,52.0,7.5161059344
31,3899695,Ancud,CL,-41.87,-73.82,1599946507,69,73,50.0,6.71080887
32,3163146,Andenes,NO,69.31,16.12,1599946507,99,81,46.4,25.5234430689
33,582123,Andi,RU,42.78,46.26,1599946507,0,77,51.71,3.1988188947
34,1730622,Anito,PH,12.45,125.29,1599946508,100,86,78.66,4.0488546849
35,3407194,Areia Branca,BR,-4.96,-37.14,1599946508,20,55,87.8,25.5234430689
36,3471551,Arenápolis,BR,-14.45,-56.85,1599946508,0,14,91.33,8.656943442300001
37,2127060,Arman',RU,59.7,150.17,1599946508,0,59,50.68,22.0114530936
38,3471451,Arraial do Cabo,BR,-22.97,-42.03,1599945966,0,65,78.8,38.5200429138
39,3373329,Arrifes,PT,37.77,-25.7,1599946509,75,77,69.8,15.5019684897
40,686090,Asău,RO,46.43,26.4,1599946509,0,85,57.99,6.5989620555
41,1278297,Ashoknagar,IN,24.57,77.72,1599946509,94,69,78.22,3.5567287011000004
42,359792,Aswān,EG,24.09,32.91,1599946013,0,18,89.94,21.5193271098
43,1651103,Atambua,ID,-9.11,124.89,1599946509,82,72,66.13,11.2070508129
44,2381334,Atar,MR,20.52,-13.05,1599946045,94,32,89.37,19.2600214569
45,4020109,Atuona,PF,-9.8,-139.03,1599946510,57,71,78.51,38.3858267364
46,3036016,Aurillac,FR,44.92,2.45,1599946510,13,82,57.2,7.5161059344
47,4035715,Avarua,CK,-21.21,-159.78,1599946510,0,78,80.6,15.5019684897
48,4231997,Avera,US,33.19,-82.53,1599946510,1,52,89.6,13.018969207800001
49,2219235,Ubari,LY,26.59,12.78,1599946511,0,16,88.41,34.8738367611
50,2027296,Aykhal,RU,66.0,111.5,1599946511,90,93,42.8,5.010737289600001
51,2656708,Ayr,GB,55.46,-4.63,1599946511,75,93,55.99,36.0370436319
52,1817858,Babu,CN,24.42,111.52,1599946511,100,89,72.37,9.2609162406
53,322391,Bahçe,TR,37.2,36.58,1599946511,10,69,77.0,7.5161059344
54,2177069,Ballina,AU,-28.87,153.57,1599946512,75,100,57.99,5.010737289600001
55,1106677,Bambous Virieux,MU,-20.34,57.76,1599946054,20,88,69.8,10.513600563
56,1215502,Banda Aceh,ID,5.56,95.32,1599946512,96,71,78.31,6.3528990636
57,64814,Bandarbeyla,SO,9.49,50.81,1599946512,71,70,79.97,39.0792769863
58,2038446,Baoqing,CN,46.33,132.21,1599946512,100,86,51.42,13.3097709255
59,2742416,Barcelos,PT,41.54,-8.62,1599946012,78,56,82.99,7.5161059344
60,1276988,Bargarh,IN,21.33,83.62,1599946513,95,91,77.74,9.864889038900001
61,3470709,Barra do Garças,BR,-15.89,-52.26,1599946245,0,15,85.8,5.9502505314
62,3946820,Barranca,PE,-10.75,-77.77,1599946513,20,75,62.62,19.506084448800003
63,5880054,Barrow,US,71.29,-156.79,1599946481,90,86,37.4,33.531674987100004
64,2310046,Bata,GQ,1.86,9.77,1599946513,100,88,76.28,15.412491038099999
65,2176639,Batemans Bay,AU,-35.72,150.18,1599946471,100,100,48.99,13.7124194577
66,3374083,Bathsheba,BB,13.22,-59.52,1599946514,40,78,80.6,23.0180744241
67,304183,Bayir,TR,37.27,28.22,1599946514,0,83,69.8,2.6619541851
68,1510689,Baykit,RU,61.67,96.37,1599946514,88,85,49.62,3.6462061527
69,140951,Behbahān,IR,30.6,50.24,1599946514,7,32,82.4,7.9634931924000005
70,1067565,Beloha,MG,-25.17,45.05,1599945945,22,83,68.41,29.974946286
71,4181936,Belvedere Park,US,33.75,-84.27,1599946314,90,83,86.0,13.018969207800001
72,1510377,Belyy Yar,RU,53.6,91.39,1599946515,0,85,33.8,5.010737289600001
73,1649150,Bengkulu,ID,-3.8,102.27,1599946233,65,88,74.8,10.513600563
74,3105522,Bereda,ES,43.27,-7.54,1599945996,27,100,68.0,6.71080887
75,2126710,Beringovskiy,RU,63.05,179.32,1599946515,100,85,46.89,85.51807436669999
76,780687,Berlevåg,NO,70.86,29.09,1599946515,99,79,47.3,23.6667859482
77,5282297,Bethel,US,41.37,-73.41,1599946336,1,52,69.01,15.5019684897
78,1182872,Bhag,PK,29.04,67.82,1599946292,0,37,93.63,14.9203650543
79,2026708,Bichura,RU,50.59,107.6,1599946516,99,86,44.37,10.200429482399999
80,2026696,Bikin,RU,46.82,134.26,1599946516,100,81,54.28,3.8475304188
81,2126682,Bilibino,RU,68.05,166.44,1599946516,100,53,47.84,3.8922691446
82,2446796,Bilma,NE,18.69,12.92,1599946516,0,13,93.24,12.661059401400001
83,244878,Biltine,TD,14.53,20.92,1599946517,65,51,84.49,11.9005010628
84,895061,Bindura,ZW,-17.3,31.33,1599946517,15,60,54.52,4.5633500316
85,321082,Bingöl,TR,38.88,40.49,1599946517,64,29,70.45,14.965103780100002
86,2206939,Bluff,NZ,-46.6,168.33,1599946517,100,96,46.99,2.2593056529
87,1509819,Bolotnoye,RU,55.67,84.4,1599946517,0,88,44.49,9.5964566841
88,5905393,Bonavista,CA,48.65,-53.11,1599946518,64,76,55.49,40.13063704260001
89,2291087,Bonoua,CI,5.27,-3.6,1599946518,20,94,77.0,13.018969207800001
90,2409914,Bonthe,SL,7.53,-12.51,1599946518,95,92,76.24,12.4149964095
91,3405051,Borba,BR,-4.39,-59.59,1599946518,81,46,87.06,2.5053686448000003
92,2174444,Bowen,AU,-20.02,148.23,1599946519,75,77,66.2,25.5234430689
93,2654970,Brae,GB,60.4,-1.35,1599945965,21,76,53.6,54.0443807664
94,2051523,Bratsk,RU,56.13,101.61,1599946519,100,66,50.0,15.0098425059
95,1015776,Bredasdorp,ZA,-34.53,20.04,1599945946,2,82,59.0,20.5127057793
96,3030302,Arrondissement de Bressuire,FR,46.92,-0.5,1599946519,0,70,64.0,12.4149964095
97,5110365,Broome,US,42.25,-75.83,1599946519,90,68,69.01,18.007337134500002
98,2374583,Bubaque,GW,11.28,-15.83,1599945958,100,79,79.97,7.0463493135
99,4016734,Bucerías,MX,20.75,-105.33,1599946520,40,62,87.8,18.007337134500002
100,3897774,Buin,CL,-33.73,-70.75,1599946520,0,22,69.01,15.5019684897
101,5911440,Burgeo,CA,47.62,-57.62,1599946520,5,73,56.19,36.887079422099994
102,2173125,Burnie,AU,-41.07,145.92,1599946292,1,72,50.0,11.2070508129
103,2075265,Busselton,AU,-33.65,115.33,1599946520,11,82,43.0,12.7057981272
104,2110227,Butaritari,KI,3.07,172.79,1599946520,89,71,81.68,29.08017177
105,3404558,Cabedelo,BR,-6.98,-34.83,1599945993,20,78,75.2,23.0180744241
106,3985710,Cabo San Lucas,MX,22.89,-109.91,1599946521,20,62,88.0,23.0180744241
107,3647444,Calabozo,VE,8.92,-67.43,1599946051,100,88,82.2,7.0016105877
108,3897347,Calama,CL,-22.47,-68.93,1599945955,0,7,71.6,46.528274832
109,2270385,Camacha,PT,33.08,-16.33,1599946521,40,73,71.6,2.5053686448000003
110,934649,Cap Malheureux,MU,-19.98,57.61,1599946027,0,85,68.0,15.658554030000001
111,5915327,Cap-aux-Meules,CA,47.38,-61.86,1599946414,20,72,59.0,28.5209376975
112,4149959,Cape Canaveral,US,28.41,-80.6,1599946522,40,88,81.0,43.530780203400006
113,3369157,Cape Town,ZA,-33.93,18.42,1599945948,75,87,62.01,25.5234430689
114,2074865,Carnarvon,AU,-24.87,113.63,1599946522,0,55,60.8,38.5200429138
115,3466704,Castro,BR,-24.79,-50.01,1599946522,22,44,71.56,12.2136721434
116,1717787,Catuday,PH,16.29,119.81,1599946523,99,83,80.26,15.054581231700002
117,3382160,Cayenne,GF,4.93,-52.33,1599945971,2,70,84.2,13.018969207800001
118,3531368,Celestún,MX,20.87,-90.4,1599946523,49,67,85.41,18.409985666700003
119,3624066,Celmira,PA,8.54,-82.8,1599946523,40,78,82.4,33.531674987100004
120,160677,Chake Chake,TZ,-5.25,39.77,1599946523,20,85,75.13,22.4141016258
121,5919815,Channel-Port aux Basques,CA,47.57,-59.14,1599946523,0,76,56.61,31.8763421325
122,2025630,Chara,RU,56.91,118.26,1599946524,100,75,52.18,1.4987473143
123,2171722,Charters Towers,AU,-20.1,146.27,1599946524,0,72,64.4,25.478704343100002
124,3025892,Chaumont,FR,48.12,5.13,1599946524,0,58,64.0,2.2593056529
125,2025579,Chegdomyn,RU,51.12,133.02,1599946524,24,87,51.49,1.4987473143
126,2126199,Cherskiy,RU,68.75,161.3,1599946524,0,63,47.43,10.6478167404
127,3698359,Chicama,PE,-7.84,-79.15,1599946525,8,65,66.94,21.6759126501
128,3920736,Chimoré,BO,-16.98,-65.13,1599946370,91,32,90.01,1.4540085885
129,146490,Chlórakas,CY,34.8,32.41,1599946525,40,78,77.0,15.5019684897
130,2126123,Chokurdakh,RU,70.63,147.92,1599946525,0,63,48.09,10.960987821000002
131,2192362,Christchurch,NZ,-43.53,172.63,1599946525,100,87,51.01,7.5161059344
132,2025261,Chul'man,RU,56.85,124.91,1599946525,100,89,52.25,10.2675375711
133,3443061,Chui,UY,-33.7,-53.46,1599945957,53,75,51.71,12.4149964095
134,3466165,Cidreira,BR,-30.18,-50.21,1599946019,100,96,61.25,22.4141016258
135,3530617,Cintalapa,MX,16.7,-93.73,1599946526,62,73,80.19,18.3652469409
136,2965471,Claremorris,IE,53.72,-9.0,1599946526,100,80,63.0,20.110057247100002
137,5338122,Clovis,US,36.83,-119.7,1599946526,90,34,82.4,7.5161059344
138,5924351,Clyde River,CA,70.47,-68.59,1599946040,90,68,39.2,25.5234430689
139,5924618,Cochrane,CA,51.18,-114.47,1599946526,20,59,63.0,33.531674987100004
140,3576994,Cockburn Town,TC,21.46,-71.14,1599945901,40,66,86.0,20.5127057793
141,2171099,Codrington,AU,-38.27,141.97,1599946038,45,87,45.37,15.3230135865
142,5821593,Cody,US,44.53,-109.06,1599946527,1,16,82.4,41.0254115586
143,3894426,Coyhaique,CL,-45.58,-72.07,1599946527,90,80,39.2,18.007337134500002
144,5859699,College,US,64.86,-147.8,1599946527,40,61,51.01,7.5161059344
145,3860443,Comodoro Rivadavia,AR,-45.87,-67.5,1599946378,75,26,55.4,82.5653184639
